SAN PEDRO,,CR59,,,
CLAVE SAP,TXT BRV,CANT,UM,PRECIO BRUTO,CR
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,10.00,UND,1350.00,59
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,12.00,SAL,1150.00,59
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,292.00,KG,54.00,59
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",478.00,FT2,14.30,59
10031918,"SUM E INST DE DUCTO FLEXIBLE 8"" VERMONT",6.00,MTO,157.05,59
10031919,"SUM E INST DE DUCTO FLEXIBLE 10"" VERMONT",6.00,MTO,165.82,59
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",8.00,MTO,177.85,59
10031934,"SYCOL. DE DIFUSOR 4v. 9""x 9"" SIN",2.00,UND,648.39,59
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1.00,LE,2061.01,59
10031955,SUJECION DE REJILLAS DE RETORNO E INYECC,1.00,LE,1203.00,59
10031956,S. FABRIC Y COL CHAROLA DE LAMINA P/COND,1.00,UND,844.00,59
10031961,"SYC REJILLA  DE RETORNO 16""X14""",1.00,UND,469.08,59
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,2.00,UND,1809.00,59
10031985,COLOC. DE VENTANA BLINDADA Y ROTOTRANSFE,1.00,UND,1657.00,59
10031986,"SUM. E INST. DE SALIDA DE SEGURIDAD, INC",22.00,SAL,825.00,59
10031990,"SUM, Y COLOLOC. DE  GUARDAPOLVO P/PUERTA",2.00,UND,226.00,59
10032007,SUM Y FAB DE BANQUETA 8cm CONCRETO ESCOB,5.30,M2,215.00,59
10032023,COLOCACION DE SEÑALIZACION SUM/BANORTE,25.00,UND,106.67,59
10032031,COLOCACION DE CALCAMONIAS DE SEGURIDAD S,15.00,UND,54.40,59
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,2.00,JOR,893.00,59
10032033,"COLOCACION DE EXTINGUIDORES EN MURO, INC",1.00,UND,106.64,59
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1.00,LE,1115.00,59
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,2.00,JOR,893.00,59
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,2.00,UND,720.00,59
10032046,INST EQUIPO DIVIDIDO DE A. ACOND. 3 T.R.,1.00,UND,8150.00,59
10032051,COLOCACION DE TERMOSTATO SUM. P/BANORTE,1.00,UND,377.00,59
10032052,SYCOL. DE GUARDA TERMOSTATO DE AC,2.00,UND,448.00,59
